city,Lat,Long,Population
Tel Aviv,32.080883,34.780572,432892
Tempe,33.414768,-111.9093095,175826
The Hague,52.076667,4.298611,474292
Thessaloniki,40.643615,22.930864,354290
Tirana,41.3275,19.8188889,374801
Tokyo,35.6895,139.69171,8336599
Toledo,39.8581006161404,-4.02262687683105,82291
Toronto,43.700113788,-79.416304194,2600000
Tunis,36.818973466834755,10.165786743164062,693210
Valencia,39.4697524227712,-0.377386808395386,814208
Valletta,35.8997222,14.5147222,6794
Vancouver,49.249657393,-123.119340403,600000
Varna,43.2166667,27.9166667,312770
Venice,45.4371342147904,12.332650434521076,51298
Vienna,48.2084877601653,16.3720750808716,1691468
Vilnius,54.6891637114677,25.2797985076904,542366
Vladivostok,43.1056202305923,131.873531341553,587022
Warsaw,52.2297708747018,21.0117816925049,1702139
Washington,38.8951118,-77.0363658,601723
Wellington,-41.2866428425807,174.77557182312,381900
Winnipeg,49.884398624,-97.147044715,632063
Zhangjiakou,40.81,114.8794444,692602
Zurich,47.3666667,8.55,341730
